loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursed_date,missed_payments,loan_status
7174,1884,Auto,750000,14.59,24,36219.06,2023-06-27,0,Active
7275,1330,Home,100000,10.89,12,8833.04,2023-06-01,0,Active
7490,1223,Auto,1000000,14.71,60,23637.98,2020-08-04,1,Closed
7073,1708,Education,200000,11.72,12,17743.57,2020-12-07,0,Closed
7306,1659,Home,750000,13.06,36,25292.14,2021-11-10,1,Active
7077,1688,Home,750000,8.65,240,6580.05,2021-03-16,1,Active
7476,1112,Home,100000,10.33,240,986.99,2020-02-20,3,Active
7141,1213,Personal,200000,14.47,60,4702.53,2023-05-28,1,Active
7470,1418,Auto,200000,14.74,120,3194.93,2022-03-02,0,Closed
7499,1920,Unavailable,1000000,14.84,240,13049.83,2024-09-13,0,Active
7219,1453,Home,200000,9.97,24,9226.22,2024-01-26,1,Closed
7010,1481,Personal,500000,11.6,36,15557.7,2021-03-19,0,Active
7480,1624,Auto,750000,9.66,120,9770.64,2024-05-19,0,Active
7079,1207,Auto,1000000,14.64,24,48315.78,2023-11-30,0,Active
7323,1808,Education,100000,10.32,36,3241.76,2021-05-02,4,Defaulted
7313,1871,Auto,100000,14.26,24,4813.58,2021-09-16,1,Active
7125,1782,Home,500000,11.6,24,24381.33,2021-02-15,0,Active
7385,1696,Auto,500000,9.56,12,43855.69,2022-03-07,0,Active
7196,1581,Personal,1000000,12.14,180,12091.9,2021-02-05,0,Active
7448,1611,Auto,100000,13.01,240,1172.29,2020-01-15,1,Active
7272,1853,Home,50000,15.71,24,2441.23,2022-03-04,0,Closed
7279,1241,Home,300000,15.7,120,4969.45,2023-03-25,1,Closed
7031,1044,Home,300000,12.08,240,3320.01,2021-06-10,0,Active
7500,1645,Education,1000000,7.1,180,9044.28,2021-08-30,0,Active
7421,1536,Personal,100000,14.72,240,1296.15,2023-05-22,0,Active
7445,1316,Auto,100000,10.43,180,1101.06,2022-07-11,1,Active
7080,1165,Education,500000,9.12,24,22869.91,2023-11-14,0,Active
7319,1310,Home,750000,7.08,12,64922.72,2022-06-03,0,Active
7211,1534,Auto,500000,14.92,180,6970.56,2022-07-12,1,Active
7496,1046,Personal,200000,10.27,120,2673.01,2020-01-08,0,Active
7173,1675,Education,300000,10.73,240,3041.63,2024-03-24,0,Active
7454,1880,Personal,50000,8.85,12,4369.1,2023-05-13,0,Active
