txn_id,customer_id,txn_date,txn_type,txn_amount,product,channel,status
18129,1603,2021-07-05,Payment,51971.04,Savings,Mobile,Failed
28670,1248,2020-06-29,Withdrawal,135251.52,Savings,Netbanking,Success
21107,1257,2024-02-06,Deposit,83333.58,Savings,Netbanking,Success
14450,1267,2023-12-23,Deposit,182010.05,Credit Card,ATM,Success
10298,1592,2024-01-11,Payment,150450.44,FD,ATM,Failed
12796,1269,2023-05-01,Deposit,38080.73,Loan,ATM,Success
25888,1812,2022-03-23,Payment,99690.21,Credit Card,Netbanking,Success
20103,1772,2020-03-18,Payment,51968.71,Loan,Branch,Success
16649,1777,2024-10-28,Transfer,75037.37,Savings,Mobile,Success
15713,1320,2023-04-29,Transfer,143777.5,Credit Card,ATM,Failed
18011,1108,2020-07-26,Payment,11029.48,FD,ATM,Pending
11141,1107,2024-04-26,Withdrawal,608.68,Loan,Mobile,Success
26447,1940,2021-12-29,Transfer,27730.64,FD,Branch,Pending
16647,1993,2020-11-29,Transfer,96746.27,FD,ATM,Success
18828,1046,2021-11-20,Transfer,118550.04,Loan,Mobile,Failed
16463,1765,2020-09-18,Deposit,59346.97,Credit Card,ATM,Success
25660,1031,2023-05-30,Transfer,192991.82,Credit Card,Netbanking,Success
12624,1321,2020-11-18,Transfer,123883.03,Loan,Mobile,Success
18439,1645,2021-05-26,Payment,114436.52,Credit Card,Netbanking,Success
16018,1387,2023-01-14,Transfer,5898.17,Loan,Mobile,Failed
14486,1098,2023-07-14,Deposit,158823.19,Credit Card,Mobile,Success
15537,1624,2020-04-19,Withdrawal,9088.7,Loan,Branch,Success
21037,1149,2024-05-04,Deposit,178992.04,Savings,Mobile,Success
20498,1367,2023-04-20,Withdrawal,196500.54,Savings,ATM,Failed
19846,1370,2024-09-11,Payment,98179.78,FD,ATM,Success
10183,1772,2020-12-04,Payment,96295.03,Credit Card,ATM,Success
17627,1656,2024-09-01,Transfer,153602.57,Savings,Netbanking,Success
9607,1057,2021-07-07,Deposit,67029.95,Savings,Branch,Failed
26528,1322,2022-02-26,Withdrawal,45282.3,Savings,Branch,Success
24336,1861,2020-09-03,Withdrawal,141147.02,Savings,ATM,Success
11813,1757,2023-04-20,Withdrawal,4309.12,FD,Netbanking,Success
26518,1666,2021-10-03,Transfer,32526.04,Loan,ATM,Success
26319,1141,2022-11-17,Withdrawal,26407.26,Loan,Netbanking,Success
16678,1943,2023-08-01,Transfer,87621.77,FD,Mobile,Success
28243,1155,2020-10-19,Transfer,76813.26,Savings,Netbanking,Failed
24697,1732,2024-09-17,Transfer,133765.39,Credit Card,ATM,Pending
23432,1506,2024-01-04,Transfer,163567.26,Savings,ATM,Failed
26320,1471,2024-12-05,Payment,184398.17,Loan,Mobile,Pending
12704,1519,2021-01-22,Transfer,182655.64,Savings,Netbanking,Success
12512,1342,2024-06-27,Deposit,96194.42,FD,Netbanking,Failed
13190,1484,2021-10-03,Withdrawal,14914.91,Loan,Netbanking,Failed
25509,1071,2023-03-17,Transfer,77277.38,Credit Card,Branch,Success
21807,1909,2022-07-25,Transfer,66902.21,Loan,ATM,Success
24368,1472,2023-01-31,Deposit,123636.34,Savings,ATM,Pending
19501,1949,2023-09-14,Withdrawal,149438.0,Loan,Netbanking,Success
26756,1461,2022-11-22,Payment,887.12,Credit Card,Branch,Success
21573,1209,2023-11-20,Payment,106589.88,Credit Card,ATM,Success
10531,1322,2023-03-16,Transfer,196104.59,Savings,Branch,Success
24346,1920,2021-11-30,Deposit,31526.96,Loan,Branch,Success
13967,1921,2022-10-25,Transfer,184125.01,Credit Card,Mobile,Success
13111,1115,2021-01-17,Deposit,137362.84,FD,Mobile,Success
12024,1675,2022-09-17,Payment,197098.39,Savings,Netbanking,Success
28787,1581,2024-06-13,Transfer,100832.78,Loan,Netbanking,Failed
21042,1009,2021-07-28,Withdrawal,144248.72,Loan,ATM,Success
26628,1512,2023-10-07,Transfer,51850.15,FD,Mobile,Success
14036,1027,2020-05-24,Deposit,193252.12,Savings,Netbanking,Success
18235,1208,2020-10-29,Transfer,176256.14,FD,Mobile,Success
20873,1022,2024-02-27,Payment,5300.77,Credit Card,Netbanking,Success
24118,1447,2020-01-15,Payment,36186.43,FD,Branch,Failed
11128,1520,2023-04-29,Withdrawal,69014.0,Loan,Branch,Pending
